Time,Channel A,Channel B
(ms),(V),(V)

0.00000000,0.29200110,0.30082095
0.04096000,0.28287607,0.29172644
0.08192000,0.28287607,0.28266242
0.12288000,0.28287607,0.28266242
0.16384000,0.27378154,0.27359843
0.20480000,0.27378154,0.27359843
0.24576000,0.27378154,0.28266242
0.28672000,0.27378154,0.28266242
0.32768000,0.27378154,0.28266242
0.36864000,0.27378154,0.27359843
0.40960000,0.26468703,0.27359843
0.45056000,0.26468703,0.26450393
0.49152000,0.27378154,0.26450393
0.53248000,0.26468703,0.27359843
0.57344000,0.25559253,0.27359843
0.61440000,0.28287607,0.29172644
0.65536000,0.29200110,0.30082095
0.69632000,0.29200110,0.30082095
0.73728000,0.28287607,0.30082095
0.77824000,0.28287607,0.30082095
0.81920000,0.29200110,0.30988494
0.86015999,0.29200110,0.30082095
0.90111999,0.29200110,0.30082095
0.94207999,0.31019014,0.28266242
0.98303999,0.32837915,0.29172644
1.02399999,0.32837915,0.29172644
1.06495999,0.31928465,0.28266242
1.10591999,0.31019014,0.28266242
1.14687999,0.31019014,0.28266242
1.18783999,0.31019014,0.29172644
1.22879999,0.31928465,0.29172644
1.26975999,0.33747369,0.28266242
1.31071999,0.32837915,0.27359843
1.35167999,0.32837915,0.27359843
1.39263999,0.32837915,0.27359843
1.43359999,0.31928465,0.27359843
1.47455999,0.31928465,0.28266242
1.51551999,0.31019014,0.28266242
1.55647999,0.31019014,0.28266242
1.59743999,0.31019014,0.28266242
1.63839999,0.31928465,0.28266242
1.67935999,0.33747369,0.29172644
1.72031999,0.31928465,0.28266242
1.76127999,0.31019014,0.27359843
1.80223999,0.31019014,0.29172644
1.84319999,0.30109560,0.30082095
1.88415999,0.29200110,0.30082095
1.92511999,0.28287607,0.30082095
1.96607999,0.29200110,0.30082095
2.00703999,0.30109560,0.30082095
2.04799999,0.31019014,0.30082095
2.08895999,0.31019014,0.30082095
2.12991999,0.30109560,0.30082095
2.17087999,0.29200110,0.30082095
2.21183999,0.29200110,0.30082095
2.25279999,0.28287607,0.29172644
2.29375999,0.27378154,0.29172644
2.33471999,0.28287607,0.30082095
2.37567999,0.28287607,0.29172644
2.41663999,0.28287607,0.30082095
2.45759999,0.29200110,0.30082095
2.49855998,0.28287607,0.30082095
2.53951998,0.28287607,0.29172644
2.58047998,0.28287607,0.28266242
2.62143998,0.27378154,0.27359843
2.66239998,0.27378154,0.28266242
2.70335998,0.27378154,0.29172644
2.74431998,0.28287607,0.29172644
2.78527998,0.29200110,0.30082095
2.82623998,0.29200110,0.30082095
2.86719998,0.28287607,0.30082095
2.90815998,0.27378154,0.28266242
2.94911998,0.27378154,0.28266242
2.99007998,0.27378154,0.28266242
3.03103998,0.27378154,0.28266242
3.07199998,0.28287607,0.28266242
3.11295998,0.29200110,0.28266242
3.15391998,0.30109560,0.30082095
3.19487998,0.29200110,0.30082095
3.23583998,0.29200110,0.30082095
3.27679998,0.29200110,0.30082095
3.31775998,0.28287607,0.29172644
3.35871998,0.29200110,0.29172644
3.39967998,0.31928465,0.29172644
3.44063998,0.32837915,0.29172644
3.48159998,0.31928465,0.28266242
3.52255998,0.31019014,0.27359843
3.56351998,0.29200110,0.27359843
3.60447998,0.29200110,0.27359843
3.64543998,0.29200110,0.27359843
3.68639998,0.28287607,0.26450393
3.72735998,0.28287607,0.24637593
3.76831998,0.25559253,0.23728141
3.80927998,0.26468703,0.22821741
3.85023998,0.23737296,0.21915342
3.89119998,0.21918394,0.20099491
3.93215998,0.18277535,0.17377239
3.97311998,0.14639729,0.13748589
4.01407998,0.15549180,0.15564440
4.05503998,0.13727225,0.12842189
4.09599998,0.13727225,0.11932737
4.13695997,0.13727225,0.11932737
4.17791997,0.10089419,0.10119937
4.21887997,0.07358012,0.06488235
4.25983997,0.06448561,0.05581835
4.30079997,0.06448561,0.05581835
4.34175997,0.05539110,0.04675436
4.38271997,0.03717154,0.04675436
4.42367997,0.06448561,0.05581835
4.46463997,0.07358012,0.08304086
4.50559997,-0.03558458,-0.02581866
4.54655997,0.00079348,0.00140385
4.58751997,-0.00830103,-0.00766015
4.62847997,-0.07199316,-0.06210517
4.66943997,-0.09018219,-0.09839167
4.71039997,-0.10840175,-0.11655018
4.75135997,-0.13568529,-0.13470870
4.79231997,-0.11749626,-0.11655018
4.83327997,-0.11749626,-0.12561418
4.87423997,-0.19028291,-0.19821772
4.91519997,-0.19940794,-0.19821772
4.95615997,-0.25400555,-0.25266275
4.99711997,-0.24491104,-0.25266275
5.03807997,-0.26310006,-0.27079073
5.07903997,-0.28128910,-0.27079073
