Time,Channel A,Channel B
(ms),(V),(V)

5.16095997,0.27378154,0.27359843
5.20191997,0.27378154,0.29172644
5.24287997,0.27378154,0.29172644
5.28383997,0.27378154,0.28266242
5.32479997,0.27378154,0.29172644
5.36575997,0.27378154,0.28266242
5.40671997,0.27378154,0.27359843
5.44767997,0.27378154,0.27359843
5.48863997,0.27378154,0.28266242
5.52959997,0.28287607,0.30082095
5.57055997,0.29200110,0.29172644
5.61151997,0.29200110,0.29172644
5.65247997,0.29200110,0.27359843
5.69343997,0.30109560,0.28266242
5.73439997,0.30109560,0.29172644
5.77535996,0.30109560,0.29172644
5.81631996,0.29200110,0.30082095
5.85727996,0.31928465,0.29172644
5.89823996,0.31928465,0.28266242
5.93919996,0.30109560,0.28266242
5.98015996,0.28287607,0.27359843
6.02111996,0.27378154,0.26450393
6.06207996,0.31019014,0.27359843
6.10303996,0.31928465,0.26450393
6.14399996,0.33747369,0.27359843
6.18495996,0.31928465,0.27359843
6.22591996,0.29200110,0.27359843
6.26687996,0.28287607,0.26450393
6.30783996,0.27378154,0.26450393
6.34879996,0.28287607,0.26450393
6.38975996,0.29200110,0.26450393
6.43071996,0.29200110,0.26450393
6.47167996,0.29200110,0.27359843
6.51263996,0.30109560,0.29172644
6.55359996,0.29200110,0.28266242
6.59455996,0.31019014,0.28266242
6.63551996,0.31019014,0.28266242
6.67647996,0.30109560,0.28266242
6.71743996,0.29200110,0.28266242
6.75839996,0.29200110,0.29172644
6.79935996,0.29200110,0.29172644
6.84031996,0.28287607,0.28266242
6.88127996,0.27378154,0.27359843
6.92223996,0.26468703,0.26450393
6.96319996,0.25559253,0.26450393
7.00415996,0.26468703,0.26450393
7.04511996,0.25559253,0.25543994
7.08607996,0.25559253,0.25543994
7.12703996,0.25559253,0.25543994
7.16799996,0.25559253,0.25543994
7.20895996,0.24649800,0.24637593
7.24991996,0.24649800,0.24637593
7.29087996,0.24649800,0.24637593
7.33183996,0.24649800,0.25543994
7.37279996,0.27378154,0.27359843
