Time,Channel A,Channel B
(ms),(V),(V)

0.00000000,0.29200110,0.29172644
0.04096000,0.29200110,0.30082095
0.08192000,0.29200110,0.29172644
0.12288000,0.29200110,0.29172644
0.16384000,0.30109560,0.29172644
0.20480000,0.31019014,0.30082095
0.24576000,0.30109560,0.28266242
0.28672000,0.30109560,0.28266242
0.32768000,0.30109560,0.28266242
0.36864000,0.30109560,0.28266242
0.40960000,0.28287607,0.27359843
0.45056000,0.27378154,0.26450393
0.49152000,0.25559253,0.24637593
0.53248000,0.25559253,0.24637593
0.57344000,0.25559253,0.23728141
0.61440000,0.22827846,0.21915342
0.65536000,0.21008942,0.20099491
0.69632000,0.20099491,0.19193090
0.73728000,0.20099491,0.20099491
0.77824000,0.17368084,0.16470839
0.81920000,0.12817773,0.12842189
0.86015999,0.12817773,0.12842189
0.90111999,0.10089419,0.11026338
0.94207999,0.11908323,0.11932737
0.98303999,0.11908323,0.11932737
1.02399999,0.10998870,0.11026338
1.06495999,0.05539110,0.05581835
1.10591999,0.05539110,0.04675436
1.14687999,0.06448561,0.05581835
1.18783999,0.05539110,0.04675436
1.22879999,0.00079348,0.01046785
1.26975999,-0.00830103,-0.00766015
1.31071999,-0.01739555,-0.02581866
1.35167999,-0.00830103,-0.01672414
1.39263999,-0.07199316,-0.06210517
1.43359999,-0.03558458,-0.03488266
1.47455999,-0.07199316,-0.06210517
1.51551999,-0.09018219,-0.08932768
1.55647999,-0.05380413,-0.05304117
1.59743999,-0.08108768,-0.08026368
1.63839999,-0.05380413,-0.05304117
1.67935999,-0.09018219,-0.08026368
1.72031999,-0.13568529,-0.13470870
1.76127999,-0.14481033,-0.14377269
1.80223999,-0.14481033,-0.13470870
1.84319999,-0.11749626,-0.11655018
1.88415999,-0.19028291,-0.18912320
1.92511999,-0.19028291,-0.18912320
1.96607999,-0.13568529,-0.13470870
2.00703999,-0.18118839,-0.18005921
2.04799999,-0.18118839,-0.18912320
2.08895999,-0.14481033,-0.14377269
2.12991999,-0.22669148,-0.23450422
2.17087999,-0.23578601,-0.24356823
2.21183999,-0.17209387,-0.18005921
2.25279999,-0.27219459,-0.27079073
2.29375999,-0.16299936,-0.17099521
2.33471999,-0.23578601,-0.24356823
2.37567999,-0.25400555,-0.25266275
2.41663999,-0.19028291,-0.19821772
2.45759999,-0.24491104,-0.25266275
2.49855998,-0.19940794,-0.20728171
2.53951998,-0.26310006,-0.27079073
2.58047998,-0.32679221,-0.32523575
2.62143998,-0.26310006,-0.26172674
2.66239998,-0.36320078,-0.36152226
2.70335998,-0.30860317,-0.30707723
2.74431998,-0.32679221,-0.33429974
2.78527998,-0.43601793,-0.44318980
2.82623998,-0.38138983,-0.37968078
2.86719998,-0.42689291,-0.42506179
2.90815998,-0.50880456,-0.50669879
2.94911998,-0.46330148,-0.46134830
2.99007998,-0.47239602,-0.47041231
3.03103998,-0.50880456,-0.52485734
3.07199998,-0.49061555,-0.48857081
3.11295998,-0.54521316,-0.54301584
3.15391998,-0.49061555,-0.48857081
3.19487998,-0.49061555,-0.49763483
3.23583998,-0.54521316,-0.55207986
3.27679998,-0.49971008,-0.50669879
3.31775998,-0.55430770,-0.55207986
3.35871998,-0.47239602,-0.47947630
3.39967998,-0.51789910,-0.51579332
3.44063998,-0.54521316,-0.54301584
3.48159998,-0.51789910,-0.52485734
3.52255998,-0.48149052,-0.48857081
3.56351998,-0.47239602,-0.47041231
3.60447998,-0.44511247,-0.45225379
3.64543998,-0.49971008,-0.49763483
3.68639998,-0.51789910,-0.51579332
3.72735998,-0.49971008,-0.49763483
3.76831998,-0.45420697,-0.46134830
3.80927998,-0.45420697,-0.45225379
3.85023998,-0.49061555,-0.49763483
3.89119998,-0.47239602,-0.47041231
3.93215998,-0.41779840,-0.41596729
3.97311998,-0.43601793,-0.42506179
4.01407998,-0.41779840,-0.41596729
4.05503998,-0.43601793,-0.42506179
4.09599998,-0.43601793,-0.43412581
4.13695997,-0.47239602,-0.47041231
4.17791997,-0.45420697,-0.46134830
4.21887997,-0.44511247,-0.44318980
4.25983997,-0.45420697,-0.45225379
4.30079997,-0.40870386,-0.41596729
4.34175997,-0.44511247,-0.44318980
4.38271997,-0.39960936,-0.40690330
4.42367997,-0.38138983,-0.37968078
4.46463997,-0.39960936,-0.39783928
4.50559997,-0.36320078,-0.36152226
4.54655997,-0.43601793,-0.42506179
4.58751997,-0.45420697,-0.45225379
4.62847997,-0.45420697,-0.46134830
4.66943997,-0.43601793,-0.44318980
4.71039997,-0.37229529,-0.37968078
4.75135997,-0.39051485,-0.38874477
