Time,Channel A,Channel B
(ms),(V),(V)

0.00000000,-0.29041412,-0.27988526
0.04096000,-0.30860317,-0.31617177
0.08192000,-0.29950866,-0.29801324
0.12288000,-0.26310006,-0.26172674
0.16384000,-0.33588672,-0.34339428
0.20480000,-0.38138983,-0.37968078
0.24576000,-0.33588672,-0.33429974
0.28672000,-0.39051485,-0.38874477
0.32768000,-0.37229529,-0.37061679
0.36864000,-0.46330148,-0.47041231
0.40960000,-0.44511247,-0.45225379
0.45056000,-0.49971008,-0.49763483
0.49152000,-0.46330148,-0.47041231
0.53248000,-0.48149052,-0.48857081
0.57344000,-0.50880456,-0.51579332
0.61440000,-0.54521316,-0.55207986
0.65536000,-0.47239602,-0.47947630
0.69632000,-0.49061555,-0.49763483
0.73728000,-0.50880456,-0.50669879
0.77824000,-0.51789910,-0.52485734
0.81920000,-0.49061555,-0.48857081
0.86015999,-0.49061555,-0.49763483
0.90111999,-0.49971008,-0.50669879
0.94207999,-0.52699363,-0.53392130
0.98303999,-0.54521316,-0.54301584
1.02399999,-0.49061555,-0.48857081
1.06495999,-0.48149052,-0.48857081
1.10591999,-0.47239602,-0.47947630
1.14687999,-0.43601793,-0.43412581
1.18783999,-0.46330148,-0.46134830
1.22879999,-0.49061555,-0.48857081
1.26975999,-0.43601793,-0.43412581
1.31071999,-0.42689291,-0.42506179
1.35167999,-0.46330148,-0.46134830
1.39263999,-0.46330148,-0.47041231
1.43359999,-0.44511247,-0.45225379
1.47455999,-0.39051485,-0.37968078
1.51551999,-0.41779840,-0.42506179
1.55647999,-0.44511247,-0.45225379
1.59743999,-0.41779840,-0.41596729
1.63839999,-0.37229529,-0.37061679
1.67935999,-0.39960936,-0.39783928
1.72031999,-0.41779840,-0.41596729
1.76127999,-0.40870386,-0.40690330
1.80223999,-0.36320078,-0.35245827
1.84319999,-0.35410628,-0.35245827
1.88415999,-0.38138983,-0.37968078
1.92511999,-0.41779840,-0.41596729
1.96607999,-0.36320078,-0.36152226
2.00703999,-0.36320078,-0.36152226
2.04799999,-0.34501174,-0.34339428
2.08895999,-0.36320078,-0.37061679
2.12991999,-0.42689291,-0.42506179
2.17087999,-0.43601793,-0.42506179
2.21183999,-0.41779840,-0.42506179
2.25279999,-0.44511247,-0.44318980
2.29375999,-0.38138983,-0.37968078
2.33471999,-0.37229529,-0.37968078
2.37567999,-0.43601793,-0.43412581
2.41663999,-0.44511247,-0.45225379
2.45759999,-0.45420697,-0.45225379
2.49855998,-0.43601793,-0.44318980
2.53951998,-0.40870386,-0.41596729
2.58047998,-0.43601793,-0.44318980
2.62143998,-0.46330148,-0.46134830
2.66239998,-0.37229529,-0.37968078
2.70335998,-0.37229529,-0.37061679
2.74431998,-0.39960936,-0.40690330
2.78527998,-0.36320078,-0.37061679
2.82623998,-0.40870386,-0.41596729
2.86719998,-0.38138983,-0.38874477
2.90815998,-0.36320078,-0.36152226
2.94911998,-0.33588672,-0.33429974
2.99007998,-0.29041412,-0.29801324
3.03103998,-0.32679221,-0.33429974
3.07199998,-0.36320078,-0.36152226
3.11295998,-0.32679221,-0.33429974
3.15391998,-0.34501174,-0.34339428
3.19487998,-0.32679221,-0.33429974
3.23583998,-0.27219459,-0.27079073
3.27679998,-0.27219459,-0.27988526
3.31775998,-0.26310006,-0.26172674
3.35871998,-0.27219459,-0.27988526
3.39967998,-0.29041412,-0.27988526
3.44063998,-0.23578601,-0.24356823
3.48159998,-0.25400555,-0.25266275
3.52255998,-0.25400555,-0.25266275
3.56351998,-0.25400555,-0.26172674
3.60447998,-0.26310006,-0.27079073
3.64543998,-0.30860317,-0.30707723
3.68639998,-0.29041412,-0.28894925
3.72735998,-0.29950866,-0.29801324
3.76831998,-0.26310006,-0.26172674
3.80927998,-0.30860317,-0.30707723
3.85023998,-0.29950866,-0.29801324
3.89119998,-0.28128910,-0.27988526
3.93215998,-0.18118839,-0.17099521
3.97311998,-0.27219459,-0.27079073
4.01407998,-0.29041412,-0.28894925
4.05503998,-0.25400555,-0.26172674
4.09599998,-0.27219459,-0.27079073
4.13695997,-0.26310006,-0.26172674
4.17791997,-0.26310006,-0.26172674
4.21887997,-0.23578601,-0.23450422
4.25983997,-0.26310006,-0.26172674
4.30079997,-0.21759698,-0.20728171
4.34175997,-0.19940794,-0.19821772
4.38271997,-0.18118839,-0.18005921
4.42367997,-0.21759698,-0.20728171
4.46463997,-0.21759698,-0.20728171
4.50559997,-0.18118839,-0.18005921
4.54655997,-0.21759698,-0.21634571
4.58751997,-0.14481033,-0.13470870
4.62847997,-0.10840175,-0.10748619
