Time,Channel A
(ms),(V)

0.00000000,-0.91433454
0.02048000,-0.91433454
0.04096000,-0.91433454
0.06144000,-0.91433454
0.08192000,-0.91433454
0.10240000,-0.91433454
0.12288000,-0.91433454
0.14336000,-0.91433454
0.16384000,-0.89608449
0.18432000,-0.91433454
0.20480000,-0.91433454
0.22528000,-0.89608449
0.24576000,-0.89608449
0.26624000,-0.89608449
0.28672000,-0.89608449
0.30720000,-0.89608449
0.32768000,-0.89608449
0.34816000,-0.89608449
0.36864000,-0.87777334
0.38912000,-0.87777334
0.40960000,-0.85952330
0.43008000,-0.85952330
0.45056000,-0.85952330
0.47104000,-0.85952330
0.49152000,-0.85952330
0.51200000,-0.85952330
0.53248000,-0.84121221
0.55296000,-0.84121221
0.57344000,-0.84121221
0.59392000,-0.84121221
0.61440000,-0.84121221
0.63488000,-0.84121221
0.65536000,-0.82296211
0.67584000,-0.82296211
0.69632000,-0.82296211
0.71680000,-0.80471206
0.73728000,-0.78640097
0.75776000,-0.78640097
0.77824000,-0.78640097
0.79872000,-0.78640097
0.81920000,-0.78640097
0.83967999,-0.78640097
0.86015999,-0.78640097
0.88063999,-0.78640097
0.90111999,-0.76815087
0.92159999,-0.78640097
0.94207999,-0.76815087
0.96255999,-0.76815087
0.98303999,-0.76815087
1.00351999,-0.76815087
1.02399999,-0.76815087
1.04447999,-0.76815087
1.06495999,-0.76815087
1.08543999,-0.76815087
1.10591999,-0.76815087
1.12639999,-0.76815087
1.14687999,-0.76815087
1.16735999,-0.76815087
1.18783999,-0.76815087
1.20831999,-0.76815087
1.22879999,-0.76815087
1.24927999,-0.78640097
1.26975999,-0.78640097
1.29023999,-0.78640097
1.31071999,-0.78640097
1.33119999,-0.78640097
1.35167999,-0.78640097
1.37215999,-0.78640097
1.39263999,-0.80471206
1.41311999,-0.82296211
1.43359999,-0.82296211
1.45407999,-0.82296211
1.47455999,-0.82296211
1.49503999,-0.82296211
1.51551999,-0.82296211
1.53599999,-0.84121221
1.55647999,-0.84121221
1.57695999,-0.84121221
1.59743999,-0.84121221
1.61791999,-0.85952330
1.63839999,-0.85952330
1.65887999,-0.85952330
1.67935999,-0.85952330
1.69983999,-0.85952330
1.72031999,-0.87777334
1.74079999,-0.87777334
1.76127999,-0.89608449
1.78175999,-0.89608449
1.80223999,-0.87777334
1.82271999,-0.89608449
1.84319999,-0.89608449
1.86367999,-0.89608449
1.88415999,-0.89608449
1.90463999,-0.89608449
1.92511999,-0.91433454
1.94559999,-0.91433454
1.96607999,-0.91433454
1.98655999,-0.91433454
2.00703999,-0.91433454
2.02751999,-0.91433454
2.04799999,-0.91433454
2.06847999,-0.91433454
2.08895999,-0.91433454
2.10943999,-0.91433454
2.12991999,-0.93264568
2.15039999,-0.93264568
2.17087999,-0.91433454
2.19135999,-0.93264568
2.21183999,-0.93264568
2.23231999,-0.91433454
2.25279999,-0.91433454
2.27327999,-0.91433454
2.29375999,-0.91433454
2.31423999,-0.91433454
2.33471999,-0.91433454
2.35519999,-0.91433454
2.37567999,-0.91433454
2.39615999,-0.91433454
