Time,Channel A
(ms),(V)

0.00000000,-0.76815087
0.02048000,-0.76815087
0.04096000,-0.74983978
0.06144000,-0.69502854
0.08192000,-0.65846735
0.10240000,-0.62190616
0.12288000,-0.49397260
0.14336000,-0.40260017
0.16384000,-0.27466658
0.18432000,-0.20160528
0.20480000,-0.14673299
0.22528000,-0.12848292
0.24576000,-0.12848292
0.26624000,-0.16504410
0.28672000,-0.20160528
0.30720000,-0.25641653
0.32768000,-0.34778893
0.34816000,-0.42091128
0.36864000,-0.47572252
0.38912000,-0.47572252
0.40960000,-0.47572252
0.43008000,-0.45747244
0.45056000,-0.40260017
0.47104000,-0.32953885
0.49152000,-0.25641653
0.51200000,-0.20160528
0.53248000,-0.16504410
0.55296000,-0.14673299
0.57344000,-0.12848292
0.59392000,-0.14673299
0.61440000,-0.20160528
0.63488000,-0.29297769
0.65536000,-0.40260017
0.67584000,-0.54884487
0.69632000,-0.64021730
0.71680000,-0.69502854
0.73728000,-0.73158973
0.75776000,-0.74983978
0.77824000,-0.74983978
0.79872000,-0.74983978
0.81920000,-0.74983978
0.83967999,-0.71333963
0.86015999,-0.69502854
0.88063999,-0.67677844
0.90111999,-0.64021730
0.92159999,-0.64021730
0.94207999,-0.67677844
0.96255999,-0.73158973
0.98303999,-0.82296211
1.00351999,-0.84121221
1.02399999,-0.89608449
1.04447999,-0.93264568
1.06495999,-0.98745692
1.08543999,-1.04226816
1.10591999,-1.06057930
1.12639999,-1.07882929
1.14687999,-1.06057930
1.16735999,-1.04226816
1.18783999,-1.04226816
1.20831999,-1.00570691
1.22879999,-0.98745692
1.24927999,-0.98745692
1.26975999,-0.98745692
1.29023999,-1.00570691
1.31071999,-1.04226816
1.33119999,-1.06057930
1.35167999,-1.06057930
1.37215999,-1.04226816
1.39263999,-1.04226816
1.41311999,-1.06057930
1.43359999,-1.07882929
1.45407999,-1.07882929
1.47455999,-1.09707940
1.49503999,-1.04226816
1.51551999,-0.98745692
1.53599999,-0.98745692
1.55647999,-1.02401805
1.57695999,-1.06057930
1.59743999,-1.07882929
1.61791999,-1.07882929
1.63839999,-1.07882929
1.65887999,-1.07882929
1.67935999,-1.07882929
1.69983999,-1.06057930
1.72031999,-1.04226816
1.74079999,-1.04226816
1.76127999,-1.06057930
1.78175999,-1.07882929
1.80223999,-1.07882929
1.82271999,-1.06057930
1.84319999,-1.06057930
1.86367999,-1.04226816
1.88415999,-1.02401805
1.90463999,-0.98745692
1.92511999,-0.93264568
1.94559999,-0.91433454
1.96607999,-0.85952330
1.98655999,-0.84121221
2.00703999,-0.84121221
2.02751999,-0.85952330
2.04799999,-0.85952330
2.06847999,-0.85952330
2.08895999,-0.87777334
2.10943999,-0.89608449
2.12991999,-0.87777334
2.15039999,-0.85952330
2.17087999,-0.84121221
2.19135999,-0.82296211
2.21183999,-0.76815087
2.23231999,-0.71333963
2.25279999,-0.60365611
2.27327999,-0.43916136
2.29375999,-0.31122777
2.31423999,-0.21985534
2.33471999,-0.20160528
2.35519999,-0.18329416
2.37567999,-0.20160528
2.39615999,-0.23816645
